Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003060719,SBKG,071900Z,15010KT,9999,na,na,SCT020,na,na,25/20,Q1015,NULL
2003060720,SBKG,072000Z,13006KT,9999,na,na,FEW020,na,na,24/20,Q1015,NULL
2003060721,SBKG,072100Z,13006KT,9999,na,na,FEW018,na,na,23/19,Q1016,NULL
2003060722,SBKG,072200Z,15008KT,9999,na,na,FEW015,na,na,22/20,Q1016,NULL
2003060723,SBKG,072300Z,13004KT,9999,na,na,FEW015,na,na,21/20,Q1017,NULL
2003060800,SBKG,080000Z,13005KT,9999,na,na,SCT010,na,na,21/20,Q1017,NULL
2003060801,SBKG,080100Z,13004KT,9999,na,na,FEW010,na,na,21/20,Q1017,NULL
2003060802,SBKG,080200Z,15006KT,9999,na,na,BKN010,na,na,21/20,Q1017,NULL
2003060803,SBKG,080300Z,15004KT,9999,na,na,BKN010,na,na,21/20,Q1016,NULL
2003060809,SBKG,080900Z,00000KT,9999,na,na,FEW015,SCT1000,na,18/18,Q1016,NULL
2003060810,SBKG,081000Z,00000KT,9999,na,na,SCT017,na,na,20/19,Q1017,NULL
2003060811,SBKG,081100Z,18006KT,9999,na,na,FEW017,na,na,22/19,Q1017,NULL
2003060812,SBKG,081200Z,16008KT,9999,na,na,BKN020,na,na,24/18,Q1017,NULL
2003060813,SBKG,081300Z,18010KT,9999,na,na,SCT020,na,na,25/19,Q1017,NULL
2003060814,SBKG,081400Z,12010KT,9999,na,na,BKN023,na,na,26/18,Q1016,NULL
2003060815,SBKG,081500Z,15010KT,9999,na,na,BKN023,na,na,27/17,Q1016,NULL
2003060816,SBKG,081600Z,12010KT,9999,na,na,BKN023,na,na,28/18,Q1015,NULL
2003060817,SBKG,081700Z,15010KT,9999,na,na,BKN023,na,na,27/19,Q1015,NULL
2003060818,SBKG,081800Z,15010KT,9999,na,na,SCT023,na,na,27/18,Q1015,NULL
2003060819,SBKG,081900Z,15010KT,9999,na,na,SCT023,na,na,27/18,Q1015,NULL
2003060820,SBKG,082000Z,12010KT,9999,na,na,FEW015,SCT020,na,26/19,Q1016,NULL
2003060821,SBKG,082100Z,12007KT,9999,na,na,FEW015,na,na,23/20,Q1016,NULL
2003060822,SBKG,082200Z,12008KT,9999,na,na,FEW017,na,na,23/20,Q1017,NULL
2003060823,SBKG,082300Z,09006KT,9999,na,na,FEW017,na,na,22/20,Q1017,NULL
2003060900,SBKG,090000Z,12006KT,CAVOK,na,na,na,na,na,22/21,Q1018,NULL
2003060901,SBKG,090100Z,13004KT,CAVOK,na,na,na,na,na,22/20,Q1018,NULL
2003060902,SBKG,090200Z,16002KT,CAVOK,na,na,na,na,na,21/20,Q1018,NULL
2003060903,SBKG,090300Z,13006KT,9999,na,na,SCT015,na,na,20/19,Q1017,NULL
2003060909,SBKG,090900Z,22006KT,9999,na,na,SCT010,SCT015,na,20/19,Q1017,NULL
2003060910,SBKG,091000Z,20006KT,9999,na,na,SCT010,BKN015,na,21/19,Q1017,NULL
2003060911,SBKG,091100Z,18006KT,9999,na,na,BKN015,na,na,22/19,Q1018,NULL
2003060912,SBKG,091200Z,18010KT,9999,na,na,BKN015,na,na,23/19,Q1018,NULL
2003060913,SBKG,091300Z,18010KT,9999,na,na,FEW015,BKN020,na,24/19,Q1017,NULL
2003060914,SBKG,091400Z,18010KT,9999,na,na,FEW015,BKN020,na,24/21,Q1017,NULL
2003060915,SBKG,091500Z,14008KT,5000,na,na,SCT010,BKN015,na,24/21,Q1016,NULL
2003060916,SBKG,091600Z,16010KT,9999,na,na,BKN020,na,na,26/20,Q1016,NULL
2003060917,SBKG,091700Z,16008KT,9999,na,na,BKN020,na,na,26/20,Q1015,NULL
2003060918,SBKG,091800Z,13006KT,5000,na,na,SCT010,BKN017,na,23/21,Q1015,NULL
2003060918,SBKG,091811Z,16008KT,3000,-RA,na,SCT006,BKN010,na,23/21,Q1016,NULL
2003060919,SBKG,091900Z,14006KT,5000,na,na,SCT010,BKN015,na,23/22,Q1016,NULL
2003060920,SBKG,092000Z,16010KT,3000,-RA,na,BKN010,BKN090,na,23/21,Q1016,NULL
2003060921,SBKG,092100Z,16008KT,5000,BR,na,SCT006,BKN010,BKN090,21/20,Q1017,NULL
2003060922,SBKG,092200Z,17006KT,5000,-RA,na,SCT006,BKN010,OVC070,20/19,Q1018,NULL
2003060923,SBKG,092300Z,18008KT,3000,na,na,SCT008,BKN010,OVC070,19/19,Q1018,NULL
2003061000,SBKG,100000Z,18004KT,5000,BR,na,BKN010,OVC070,na,20/20,Q1018,NULL
2003061001,SBKG,100100Z,18006KT,9999,na,na,BKN012,BKN070,na,20/19,Q1018,NULL
2003061002,SBKG,100200Z,19006KT,9999,na,na,SCT013,BKN080,na,21/20,Q1018,NULL
2003061003,SBKG,100300Z,18004KT,9999,na,na,BKN015,BKN090,na,21/20,Q1017,NULL
2003061009,SBKG,100900Z,18005KT,9999,na,na,FEW005,SCT010,BKN015,21/20,Q1017,NULL
2003061009,SBKG,100932Z,18006KT,1500,-RA,BR,BKN010,BKN015,na,21/20,Q1018,NULL
2003061010,SBKG,101000Z,16006KT,3000,BR,na,FEW005,BKN010,BKN015,21/20,Q1018,NULL
2003061010,SBKG,101019Z,16008KT,5000,BR,na,SCT010,BKN018,na,22/20,Q1018,NULL
2003061011,SBKG,101100Z,16010KT,9999,na,na,FEW010,BKN018,na,23/20,Q1018,NULL
2003061012,SBKG,101200Z,16010KT,8000,na,na,SCT010,BKN018,na,23/20,Q1018,NULL
2003061013,SBKG,101300Z,18010KT,8000,na,na,SCT010,BKN015,BKN100,23/20,Q1018,NULL
2003061014,SBKG,101400Z,16008KT,9999,na,na,SCT010,SCT015,BKN100,24/20,Q1018,NULL
2003061015,SBKG,101500Z,14008KT,5000,na,na,SCT010,BKN015,BKN100,24/20,Q1017,NULL
2003061016,SBKG,101600Z,12004KT,6000,na,na,SCT010,BKN015,BKN100,23/21,Q1017,NULL
2003061016,SBKG,101615Z,12008KT,3000,-RA,na,SCT010,BKN015,BKN100,23/21,Q1017,NULL
2003061017,SBKG,101700Z,10010KT,5000,na,na,SCT010,BKN015,BKN100,22/21,Q1016,NULL
2003061018,SBKG,101800Z,13008KT,9999,na,na,BKN017,BKN100,na,23/21,Q1016,NULL
2003061019,SBKG,101900Z,14008KT,9999,na,na,SCT020,SCT100,BKN300,23/21,Q1016,NULL
2003061020,SBKG,102000Z,10010KT,3000,-RA,na,BKN010,BKN015,BKN090,23/21,Q1017,NULL
2003061021,SBKG,102100Z,12005KT,5000,BR,na,SCT007,BKN010,BKN090,21/21,Q1017,NULL
2003061022,SBKG,102200Z,14004KT,9999,na,na,FEW006,SCT010,BKN090,22/21,Q1018,NULL
2003061023,SBKG,102300Z,14006KT,9999,na,na,FEW006,SCT010,BKN090,22/21,Q1018,NULL
2003061100,SBKG,110000Z,13004KT,5000,BR,na,SCT006,BKN010,BKN090,21/21,Q1018,NULL
2003061101,SBKG,110100Z,15003KT,7000,na,na,BKN010,BKN090,na,21/21,Q1018,NULL
2003061102,SBKG,110200Z,17006KT,9999,na,na,BKN012,BKN090,na,21/21,Q1018,NULL
2003061103,SBKG,110300Z,15006KT,8000,-RA,na,BKN012,BKN090,na,21/21,Q1017,NULL
2003061109,SBKG,110900Z,16006KT,3000,-RA,BR,SCT006,BKN010,BKN090,20/20,Q1017,NULL
2003061109,SBKG,110910Z,16008KT,5000,BR,na,FEW010,BKN015,BKN090,21/20,Q1017,NULL
2003061110,SBKG,111000Z,14008KT,5000,BR,na,SCT010,BKN015,BKN090,21/20,Q1017,NULL
2003061111,SBKG,111100Z,16006KT,9999,na,na,FEW015,SCT017,BKN090,22/20,Q1018,NULL
2003061112,SBKG,111200Z,13008KT,9999,na,na,BKN020,BKN090,na,23/20,Q1018,NULL
2003061113,SBKG,111300Z,14010KT,9999,na,na,BKN020,BKN090,na,24/21,Q1018,NULL
2003061114,SBKG,111400Z,16010KT,9999,na,na,BKN020,BKN090,na,25/21,Q1017,NULL
2003061115,SBKG,111500Z,15006KT,9999,na,na,SCT023,SCT090,na,26/21,Q1017,NULL
2003061117,SBKG,111700Z,14010KT,9999,na,na,SCT025,SCT100,na,27/21,Q1015,NULL
