Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2016060511,SBKG,051100Z,10013KT,na,olarrr,na,na,SCT006,BKN010,BKN015,23/22,Q1017,na
2016060512,SBKG,051200Z,10014KT,na,olarrr,na,na,SCT015,na,na,25/22,Q1018,na
2016060513,SBKG,051300Z,09013KT,na,olarrr,na,na,SCT020,na,na,26/21,Q1018,na
2016060514,SBKG,051400Z,11015KT,na,olarrr,na,na,SCT020,na,na,27/21,Q1017,na
2016060515,SBKG,051500Z,10014KT,na,olarrr,na,na,SCT033,na,na,28/20,Q1016,na
2016060516,SBKG,051600Z,12012KT,na,olarrr,na,na,SCT040,na,na,28/19,Q1016,na
2016060517,SBKG,051700Z,10012KT,na,olarrr,na,na,SCT040,na,na,28/19,Q1015,na
2016060518,SBKG,051800Z,10012KT,na,olarrr,na,na,SCT036,na,na,28/19,Q1015,na
2016060519,SBKG,051900Z,10011KT,na,olarrr,na,na,FEW035,na,na,27/19,Q1015,na
2016060519,SBKG,051945Z,10010KT,na,olarrr,na,na,FEW030,na,na,27/20,Q1015,na
2016060602,SBKG,060215Z,19004KT,na,olarrr,na,na,SCT015,na,na,22/21,Q1017,na
2016060603,SBKG,060300Z,08004KT,na,olarrr,na,na,FEW008,SCT015,na,22/21,Q1017,na
2016060604,SBKG,060400Z,09004KT,na,olarrr,na,na,SCT013,SCT015,na,22/21,Q1016,na
2016060605,SBKG,060500Z,09003KT,na,olarrr,na,na,FEW005,SCT010,na,22/21,Q1016,na
2016060605,SBKG,060515Z,09003KT,na,olarrr,-RA,BR,SCT004,BKN010,na,22/22,Q1015,na
2016060606,SBKG,060600Z,09005KT,na,olarrr,na,na,SCT002,BKN010,BKN015,22/22,Q1015,na
2016060607,SBKG,060700Z,09005KT,na,olarrr,BR,na,SCT003,BKN008,na,22/22,Q1015,na
2016060608,SBKG,060800Z,10006KT,na,olarrr,BR,na,BKN002,BKN007,na,22/22,Q1015,na
2016060609,SBKG,060900Z,10006KT,na,olarrr,BR,na,BKN002,BKN009,na,22/22,Q1016,na
2016060609,SBKG,060940Z,09005KT,na,olarrr,na,na,SCT002,BKN009,na,22/22,Q1017,na
2016060610,SBKG,061000Z,09005KT,na,olarrr,na,na,FEW003,SCT010,BKN015,22/22,Q1017,na
2016060611,SBKG,061100Z,10006KT,na,olarrr,na,na,SCT007,SCT014,na,24/22,Q1017,na
2016060612,SBKG,061200Z,10007KT,na,olarrr,na,na,BKN015,na,na,24/22,Q1018,na
2016060613,SBKG,061300Z,09009KT,na,olarrr,na,na,BKN019,na,na,26/21,Q1018,na
2016060614,SBKG,061400Z,09009KT,na,olarrr,na,na,SCT023,na,na,27/20,Q1017,na
2016060615,SBKG,061500Z,09010KT,na,olarrr,na,na,SCT030,na,na,28/21,Q1016,na
2016060616,SBKG,061600Z,09010KT,na,olarrr,na,na,SCT030,na,na,27/22,Q1015,na
2016060617,SBKG,061700Z,08007KT,na,olarrr,na,na,SCT030,na,na,28/22,Q1014,na
2016060618,SBKG,061800Z,09009KT,na,olarrr,na,na,SCT030,na,na,28/21,Q1014,na
2016060619,SBKG,061900Z,07010KT,na,olarrr,na,na,SCT025,na,na,27/22,Q1014,na
2016060619,SBKG,061945Z,07010KT,na,olarrr,na,na,SCT020,na,na,26/22,Q1015,na
2016060702,SBKG,070215Z,09008KT,na,olarrr,-RA,BR,SCT004,BKN009,na,23/22,Q1018,na
2016060703,SBKG,070300Z,10009KT,na,olarrr,BR,na,SCT003,SCT007,BKN012,22/22,Q1017,na
2016060703,SBKG,070332Z,08008KT,na,olarrr,BR,na,SCT003,BKN008,BKN015,22/22,Q1017,na
2016060704,SBKG,070400Z,09010KT,na,olarrr,BR,na,SCT003,BKN008,BKN010,22/22,Q1017,na
2016060705,SBKG,070500Z,09010KT,na,olarrr,BR,na,BKN002,BKN008,na,22/22,Q1016,na
2016060706,SBKG,070600Z,08008KT,na,olarrr,BR,na,OVC002,na,na,22/22,Q1016,na
2016060707,SBKG,070700Z,08008KT,na,olarrr,BR,na,BKN002,BKN005,na,22/21,Q1016,na
2016060708,SBKG,070800Z,10009KT,na,olarrr,BR,na,BKN002,BKN007,na,22/21,Q1016,na
2016060709,SBKG,070900Z,08006KT,na,olarrr,FG,na,na,na,na,21/21,Q1016,na
2016060709,SBKG,070930Z,09006KT,na,olarrr,BR,na,BKN003,na,na,22/21,Q1017,na
2016060710,SBKG,071000Z,09006KT,na,olarrr,na,na,SCT003,BKN009,na,22/21,Q1017,na
2016060711,SBKG,071100Z,10008KT,na,olarrr,na,na,FEW007,SCT010,na,24/21,Q1018,na
2016060712,SBKG,071200Z,11008KT,na,olarrr,na,na,SCT012,na,na,24/21,Q1018,na
2016060713,SBKG,071300Z,10007KT,na,olarrr,na,na,SCT015,na,na,26/20,Q1018,na
2016060714,SBKG,071400Z,11007KT,na,olarrr,na,na,SCT020,na,na,27/19,Q1018,na
2016060715,SBKG,071500Z,09008KT,na,olarrr,na,na,na,na,na,28/17,Q1017,na
2016060716,SBKG,071600Z,09007KT,na,olarrr,na,na,FEW040,na,na,28/19,Q1016,na
2016060717,SBKG,071700Z,09008KT,na,olarrr,na,na,FEW043,na,na,29/19,Q1015,na
2016060718,SBKG,071800Z,08007KT,na,olarrr,na,na,FEW040,na,na,28/20,Q1015,na
2016060719,SBKG,071900Z,07008KT,na,olarrr,na,na,na,na,na,28/19,Q1015,na
2016060719,SBKG,071945Z,09009KT,na,olarrr,na,na,na,na,na,27/20,Q1015,na
2016060802,SBKG,080215Z,06008KT,na,olarrr,na,na,BKN007,na,na,22/21,Q1018,na
2016060803,SBKG,080300Z,07008KT,na,olarrr,na,na,BKN007,na,na,22/21,Q1017,na
2016060804,SBKG,080400Z,08008KT,na,olarrr,na,na,SCT005,BKN007,na,22/21,Q1017,na
2016060805,SBKG,080500Z,09007KT,na,olarrr,na,na,SCT005,BKN007,na,22/21,Q1017,na
2016060806,SBKG,080600Z,08005KT,na,olarrr,BR,na,na,na,na,21/21,Q1017,na
2016060807,SBKG,080700Z,08007KT,na,olarrr,na,na,BKN002,na,na,22/21,Q1017,na
2016060808,SBKG,080800Z,08006KT,na,olarrr,na,na,BKN002,na,na,22/21,Q1017,na
2016060809,SBKG,080900Z,10006KT,na,olarrr,BR,na,BKN007,na,na,22/21,Q1017,na
2016060810,SBKG,081000Z,09006KT,na,olarrr,BR,na,SCT007,BKN010,na,22/22,Q1018,na
2016060810,SBKG,081015Z,10007KT,na,olarrr,na,na,SCT010,BKN018,na,22/21,Q1018,na
2016060811,SBKG,081100Z,09007KT,na,olarrr,na,na,BKN018,na,na,24/22,Q1018,na
2016060812,SBKG,081200Z,09008KT,na,olarrr,na,na,SCT020,na,na,25/22,Q1019,na
2016060813,SBKG,081300Z,09010KT,na,olarrr,na,na,SCT030,na,na,26/21,Q1019,na
2016060814,SBKG,081400Z,10009KT,na,olarrr,na,na,SCT030,na,na,27/21,Q1018,na
2016060815,SBKG,081500Z,08009KT,na,olarrr,na,na,SCT030,na,na,28/21,Q1017,na
2016060816,SBKG,081600Z,09007KT,na,olarrr,na,na,SCT030,na,na,29/21,Q1016,na
2016060817,SBKG,081700Z,09009KT,na,olarrr,na,na,SCT030,na,na,29/20,Q1015,na
2016060818,SBKG,081800Z,07008KT,na,olarrr,na,na,SCT036,na,na,29/20,Q1015,na
2016060819,SBKG,081900Z,07009KT,na,olarrr,na,na,FEW030,na,na,29/20,Q1015,na
2016060819,SBKG,081945Z,08011KT,na,olarrr,na,na,FEW030,na,na,27/22,Q1016,na
2016060900,SBKG,090000Z,07011KT,na,olarrr,na,na,BKN007,na,na,23/22,Q1018,na
2016060901,SBKG,090100Z,07011KT,na,olarrr,na,na,BKN007,na,na,23/22,Q1018,na
2016060902,SBKG,090200Z,08009KT,na,olarrr,na,na,BKN007,na,na,23/22,Q1018,na
2016060903,SBKG,090300Z,09008KT,na,olarrr,na,na,BKN007,na,na,23/22,Q1018,na
2016060904,SBKG,090400Z,10009KT,na,olarrr,na,na,BKN007,na,na,23/22,Q1018,na
